,GaiaEDR3,RAdeg,e_RAdeg,DEdeg,e_DEdeg,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,RFG,BPmag,RFBP,RPmag,RFRP,E(BP/RP),RUWE,IPDfmp,RV,e_RV,r_RV,f_RV,GCNSprob,WDprob,Dist1,Dist16,Dist50,Dist84,xcoord50,xcoord16,xcoord84,ycoord50,ycoord16,ycoord84,zcoord50,zcoord16,zcoord84,Uvel50,Uvel16,Uvel84,Vvel50,Vvel16,Vvel84,Wvel50,Wvel16,Wvel84,GUNN,r_GUNN,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag
269,5502164890740285696,102.4842666,0.30648,-50.6148479,0.34473,18.758,0.34752,32.618,0.37008,-69.566,0.42179,2.6185,451.31,3.5589,46.43,2.2465,57.99,0.8979,4.96,0,34.4,0.3,b'2006AstL...32..759G',b'F',0.998,0.012,0.05126,0.05243,0.05342,0.05441,-8.52705,-8.36937,-8.68546,-49.1799,-48.27047,-50.09349,-19.02279,-18.67102,-19.37617,13.373,13.049,13.716,-35.853,-36.139,-35.562,-9.93,-10.056,-9.783,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'06495616-5036523',1.073,0.242,0.459,0.286,0.336,0.318,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,939307084189685248,103.1972361,0.26179,33.961047,0.29887,16.87,0.25982,-1.705,0.20486,-47.193,0.22355,3.5936,418.43,3.6885,63.12,3.4316,330.45,1.1532,2.15,0,21.0,4.1,b'2006AstL...32..759G',b'F',0.952,0.0,0.05733,0.05835,0.05924,0.06018,-57.18184,-56.3171,-58.09039,-2.10217,-2.07038,-2.13557,15.34858,15.11647,15.59245,-20.523,-24.157,-16.89,-12.828,-13.074,-12.562,-0.189,-1.176,0.805,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'06524732+3357405',3.246,0.22,3.229,0.194,3.163,0.296,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,2952868119987647744,103.5468742,0.11758,-12.0386918,0.13742,12.068,0.13135,-136.654,0.17163,-14.322,0.19197,3.5295,716.89,4.373,90.3,2.7009,119.27,1.2364,2.54,0,96.2,0.1,b'2015A&A...574A..50J',b'F',1.0,0.005,0.08078,0.08204,0.08291,0.08379,-59.44541,-58.82377,-60.07719,-57.36946,-56.76953,-57.97918,-7.01953,-6.94613,-7.09414,-79.186,-79.346,-79.031,-49.827,-50.033,-49.627,-58.477,-59.01,-57.938,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'06541141-1202188',1.538,0.284,0.78,0.218,0.642,0.264,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,2932346628813365504,103.9062021,0.04981,-20.1363193,0.06277,33.573,0.09519,51.109,0.08218,39.971,0.09921,4.5604,1647.52,4.7619,2120.38,4.2415,605.59,1.167,1.0,0,4.742,0.4938,b'2018A&A...616A...1G',b'T',1.0,0.014,0.0296,0.02971,0.02979,0.02988,-18.38251,-18.33084,-18.43529,-23.05878,-22.99398,-23.125,-4.22155,-4.20969,-4.23368,-5.232,-5.537,-4.924,-3.487,-3.88,-3.103,8.194,8.118,8.274,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'06553743-2008113',4.144,0.312,3.872,0.276,3.945,0.31,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,953838195501646848,104.4044786,0.08312,45.0940788,0.08494,14.405,0.10551,-21.415,0.10266,-3.391,0.09608,4.8726,921.34,4.898,619.53,4.8292,223.59,1.1466,0.92,1,-11.9,1.0,b'2006AstL...32..759G',b'F',1.0,0.019,0.06832,0.06891,0.06942,0.06992,-64.57818,-64.10415,-65.04792,9.58934,9.51896,9.6591,23.59549,23.42229,23.76713,8.844,7.95,9.762,-0.073,-0.216,0.064,-10.642,-10.984,-10.312,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'06573710+4505386',5.055,0.27,4.941,0.232,4.793,0.031,b'J065737.11+450539.7',5.55,0.058,4.711,0.041,4.815,0.015,4.73,0.034
274,5280799218287640448,104.9602381,0.06522,-67.9154054,0.06758,10.594,0.06891,-27.467,0.07648,233.796,0.09083,4.714,1073.16,5.4317,899.81,3.8977,278.06,1.2673,1.4,2,40.524,0.1428,b'2018A&A...616A...1G',b'T',1.0,0.054,0.09309,0.09385,0.09446,0.09505,12.88436,12.80097,12.96477,-85.17424,-84.62296,-85.70579,-38.75282,-38.502,-38.99467,-97.374,-98.022,-96.741,-56.726,-56.909,-56.553,-6.453,-6.544,-6.371,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'06595055-6754591',2.934,0.28,2.306,0.248,2.11,0.29,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,1139835946142603008,105.0182604,0.07269,76.9773489,0.0821,17.075,0.10933,72.948,0.08299,-13.442,0.10948,4.0778,1054.15,4.8019,1092.08,3.2616,343.78,1.265,5.52,0,-29.873,0.1238,b'2018A&A...616A...1G',b'T',1.0,0.013,0.0577,0.0582,0.05856,0.05895,-38.55142,-38.31479,-38.8082,35.26162,35.04518,35.49649,26.45972,26.29731,26.63596,22.714,22.627,22.801,-27.976,-28.09,-27.868,4.258,4.137,4.382,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07000399+7658384',2.292,0.268,1.578,0.198,1.474,0.254,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,5508149631314682752,105.9729523,0.07981,-49.583276,0.07977,16.207,0.08632,-56.878,0.1008,149.108,0.10669,4.8938,1004.17,4.9628,742.14,4.7737,281.49,1.1507,1.28,0,26.8,2.0,b'1979IAUS...30...57E',b'F',1.0,0.011,0.06096,0.06139,0.06171,0.06204,-10.25953,-10.20776,-10.3156,-57.64181,-57.35095,-57.95683,-19.48816,-19.38982,-19.59466,-50.357,-50.76,-49.965,-16.556,-18.527,-14.755,-8.672,-9.348,-8.072,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07035362-4935022',4.861,0.254,4.725,0.076,4.567,0.02,b' ',0.0,0.0,0.0,0.0,4.615,0.015,4.564,0.025
277,5267405895350690304,107.1872549,0.1081,-70.4984475,0.14228,24.477,0.113,23.62,0.15391,108.653,0.17007,3.4989,695.47,4.0834,124.17,2.8474,160.44,1.1904,2.42,0,2.8,0.7,b'2006AstL...32..759G',b'F',1.0,0.0,0.04042,0.04068,0.04087,0.04106,7.47613,7.44237,7.51049,-36.56669,-36.40155,-36.73475,-16.65005,-16.57485,-16.72657,-17.702,-17.852,-17.55,-10.117,-10.763,-9.484,7.467,7.177,7.752,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07084477-7029560',1.961,0.424,1.67,0.308,1.573,9.996,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,3059491988786433536,107.5570042,0.05766,-4.2361405,0.06272,16.811,0.0701,-0.46,0.07909,217.452,0.08017,4.6324,1393.09,5.15,1420.74,3.955,649.43,1.2358,1.44,0,78.152,0.1474,b'2018A&A...616A...1G',b'T',1.0,0.01,0.05887,0.05921,0.05949,0.05974,-46.296,-46.0827,-46.49244,-37.28597,-37.11418,-37.44418,2.32035,2.30965,2.33019,-94.141,-94.32,-93.963,-5.857,-6.045,-5.659,31.148,31.037,31.266,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07101368-0414139',3.058,0.238,2.521,0.196,2.446,0.216,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
